Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,Year,Month,Season,Log Microplastics Measurement
0275968-0000397,2010-07-22 05:00:00,42.8195,8.3553,Western Basin,0.0,Neuston net,0.33,0.320454,pieces/m3,Medium,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,2010,7,Summer,0.27797561685862404
0276422-0000693,2021-07-11 05:00:00,38.690833,12.840333,Tyrrhenian Sea,0.0,Manta net,0.33,0.760417,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2021,7,Summer,0.5655507128043318
0276422-0000459,2018-06-15 05:00:00,36.896667,-1.696667,Western Basin,0.0,Manta net,0.33,0.064147,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2018,6,Summer,0.06217353927126648
0276422-0000367,2018-08-24 05:00:00,43.95385,4.792683,Western Basin,0.0,Manta net,0.33,0.246132,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2018,8,Summer,0.22004435375893672
0314180-0000038,2013-05-31 05:00:00,40.9502,3.3204,Balearic Sea,0.25,Neuston net,0.2,6.67,pieces/m3,High,Cózar et al. 2015,https://doi.org/10.1371/journal.pone.0121762,"Universidad de Cádiz, Spain",2013,5,Spring,2.0373166153791646
0276422-0000621,2020-09-23 05:00:00,37.730333,12.396667,Western Basin,0.0,Manta net,0.33,0.076938,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2020,9,Autumn,0.07412182920056971
0279322-0000034,2018-06-15 05:00:00,44.273233,9.1401,Ligurian Sea,0.0,Manta net,0.33,0.343975,pieces/m3,Medium,Caldwell et al. 2019,https://doi.org/10.1016/j.marpolbul.2019.110572,"University of Fribourg, Switzerland",2018,6,Summer,0.29563164073747733
0276422-0001109,2023-07-13 05:00:00,37.267502,15.440666,Ionian Sea,0.0,Manta net,0.33,0.153954,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2023,7,Summer,0.14319430593960328
0276422-0000097,2013-10-25 05:00:00,38.418333,2.066667,Western Basin,0.0,Manta net,0.33,1.092936,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",2013,10,Autumn,0.7385678648788079
0270530-0000108,2014-10-15 05:00:00,42.2696,9.5959,Tyrrhenian Sea,0.16,Manta net,0.333,1.901375,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,2014,10,Autumn,1.0651847625555912
