Strategy,Samples Used,Log MAE mean,Log MAE std,Log RMSE mean,Log RMSE std,Log R2 mean,Log R2 std,Original MAE mean,Original MAE std,Original RMSE mean,Original RMSE std,Original R2 mean,Original R2 std
uncertainty,110,0.4256119013183273,0.07165240345212708,0.6040376930944954,0.08668355280430537,-0.0775293986784466,0.35271939127308777,1.2619375022673525,0.2897755292372725,3.327758093328547,0.30447894212052623,-0.0410373503147438,0.20984200114031396
geographic,120,0.38530976247525034,0.023274808967205952,0.5680633839629994,0.02654984411280727,0.06249901272761553,0.08896598377840152,1.1334747102219715,0.07453971770441166,3.251951686372803,0.05566975283084374,0.013026266361749528,0.033631320678706424
hybrid,120,0.38204997575286487,0.018778920226267468,0.570638004521917,0.016411369570143528,0.05513506263706157,0.055287571752869864,1.1311375620279998,0.054400351075794544,3.2701542236098824,0.03990717590370492,0.002075763481199122,0.024322827201557238
random,120,0.41928206210945185,0.037618234986311755,0.5784607414260776,0.02290289426623732,0.02840506639957139,0.0781566764724203,1.204598282137233,0.10018373613953985,3.2591948581052335,0.20464306038285135,0.005369409381459367,0.13290780249915649
uncertainty,120,0.42741064369864123,0.06676156478721838,0.606227927528189,0.08122626673826697,-0.08282410426186126,0.3278387914187041,1.2675169676492986,0.27146842952495875,3.3252116695673353,0.29039242594375314,-0.038752976601884204,0.19879872596436945
geographic,130,0.3843064326827095,0.025622723610189472,0.5672369635196182,0.03242203219988431,0.06431576357456603,0.11054030032999211,1.1340985371793793,0.09395981711071721,3.2550324653352014,0.059522577722143324,0.011118559890994173,0.03600551101576015
hybrid,130,0.37400923474807224,0.010879335947013291,0.5621179393898463,0.009682338792795023,0.08357691882284098,0.0317024051398912,1.108320390823612,0.02441250681836376,3.2619436748671475,0.04576865409692636,0.007037713331235018,0.027812765784306193
random,130,0.4140243337097348,0.037267770964548703,0.5763080316956646,0.024011454065809932,0.03547719898125139,0.08152436237497111,1.1991583860933706,0.10528616537622991,3.2764616652926497,0.23896864278020752,-0.006438696556797597,0.15907639056973774
uncertainty,130,0.4255169237791169,0.06996047007961481,0.6061479329802426,0.08774670909667927,-0.0854180592613281,0.3592386707916246,1.2718555540659322,0.30550483436756515,3.3518340094457466,0.36128506337875094,-0.05921819492124888,0.25542558668150317
geographic,140,0.3835504390578988,0.02582729228557235,0.5671780092409616,0.03257420932787591,0.06448386801561581,0.11126343810332898,1.133915066974976,0.09628617927301253,3.254727453983309,0.06334691249168142,0.011264361898732745,0.03824787808958795
hybrid,140,0.37361601930758614,0.010971118639407746,0.5590366844631137,0.010921514780461071,0.09352684561493406,0.03544903862262812,1.1058078833621152,0.024743755807107897,3.254338007184802,0.0490708845050302,0.011635651216101762,0.029750156678044835
random,140,0.4073128399364593,0.03350828122532309,0.5701587120194431,0.017639506645150998,0.056611315526188324,0.05876004799153397,1.171423619482911,0.06865356589631502,3.201136292190899,0.04557320489294204,0.04370818452762273,0.027084874167807544
uncertainty,140,0.420161125949555,0.044618801180091615,0.5994802095171697,0.05903365179293509,-0.05111142781403424,0.22757765628888335,1.2374396829438732,0.1896890772777647,3.3124718841307725,0.20904462979323715,-0.027451185127520306,0.13847415113756129
geographic,150,0.37964175491635593,0.018193257721199826,0.5613382180012125,0.021726802318264418,0.08512962922899621,0.0704976037587571,1.11953252063687,0.05589262461072678,3.2362499399863376,0.07257024384845963,0.022349772610662334,0.04366538955021611
hybrid,150,0.37121480439730814,0.010321488552813033,0.5573086188529193,0.012051357242152368,0.09905261653811022,0.03901896587668835,1.098554696871991,0.01872382968095154,3.256996863028764,0.04842114550616516,0.010025616478594979,0.02935191927613565
random,150,0.4062512548017925,0.033005039355826646,0.5699459261783864,0.018571135766740826,0.057226698832297904,0.061704821269034385,1.1722785575016639,0.07011604382756514,3.2133257718794455,0.07468346377636743,0.03611882964749994,0.04539179190989837
uncertainty,150,0.41258185394192515,0.040622211243175624,0.5875667124717828,0.05665475238904257,-0.009388671441021013,0.21296817234016593,1.2149964494885224,0.16765871683406355,3.2828292306922022,0.1799829556182197,-0.008260541036274072,0.11705725001819631
geographic,160,0.37795916580863065,0.017879015702003315,0.559250671851876,0.020125869672840253,0.09208725609797634,0.06520419184749873,1.1156918612864346,0.05330407601233052,3.2325917467251712,0.07462589152835522,0.024532348158393214,0.04480853208927931
hybrid,160,0.3711679327604049,0.012500716729130399,0.5564936533484388,0.012345901940098549,0.10166578290516637,0.039900102625330065,1.0979131579118777,0.022834335500035455,3.2546746232764754,0.044173135447207384,0.011469567114771451,0.026799991858018523
random,160,0.401026638841834,0.027405424024248167,0.5616724778209932,0.014722461530917474,0.08470744670288916,0.04811833389628012,1.1552046736188173,0.05138144220170787,3.191366006730941,0.04416951347176381,0.049546246181147724,0.026115408310430983
uncertainty,160,0.41002618777236916,0.03820109604933269,0.5869494241495294,0.05724259285017612,-0.00746119943520579,0.21554712663374737,1.2104146946544545,0.16919411520407993,3.2890185360157105,0.18902633551488732,-0.01233594958551858,0.12366486288871209
geographic,170,0.3780027106054468,0.017720068294307792,0.5559809833741836,0.02078436998504885,0.10258991731805356,0.0664148491871524,1.1128887737785933,0.04174830638449858,3.2239166039851797,0.08487922832441261,0.029621106183541655,0.05071013831294962
hybrid,170,0.3723249706065196,0.014273554991831281,0.5564496991439667,0.014100787519745427,0.10168651070893564,0.0458145242945662,1.1031967806147407,0.029970662095487023,3.2478441393633957,0.04260052186671923,0.01562518126127945,0.025868300332351393
random,170,0.4011672423044673,0.025894208411237365,0.5616647715658882,0.01280927982511393,0.08487000105624908,0.04198233574694909,1.1560878076361087,0.0494438585200704,3.1843185716315108,0.04838142017702729,0.05370589331307709,0.02860989767805739
uncertainty,170,0.40785697467823906,0.034267854128242764,0.5815858607907216,0.047638628619963964,0.013340089240083175,0.1741095296968726,1.195996020187426,0.1413484873734421,3.26092169548341,0.12014837117523575,0.006623390551686881,0.07567023268903665
geographic,180,0.37496920704365505,0.016139606948608602,0.5517069499104837,0.015016529423421788,0.11685593041614908,0.04776958834655103,1.1050134391051638,0.03866557476760632,3.220991591676762,0.07019193277792016,0.031571288624886354,0.04207060768502607
hybrid,180,0.37359038748059864,0.01591657297829195,0.5584586416870708,0.01513585951089589,0.0951132473628312,0.04941978104030032,1.1081698506480973,0.03701983145901966,3.2503394529409944,0.04174471108924781,0.014118308743873986,0.025379952655999533
random,180,0.40287059712967155,0.02587846041803149,0.5617014510716622,0.013127177766601106,0.08472901176480563,0.04288405254190377,1.1552278544018697,0.04155765959346041,3.184642755240462,0.052675686084364313,0.05347680426038304,0.031072104662223512
uncertainty,180,0.41051968048080906,0.03312435085331555,0.5803006305863068,0.048858917236280344,0.017362620199225264,0.1790203331962186,1.2035220079439726,0.1417575857772013,3.2441084725848315,0.13311657047255257,0.016552355868993764,0.08321259124143258
geographic,190,0.3745980835502889,0.016548483972042893,0.5523278449077388,0.015004913184628694,0.11486925369084489,0.047731297860538605,1.1041127423968076,0.03883052812914958,3.2227358213380137,0.0674353900223703,0.03055446457147144,0.04044240020325392
hybrid,190,0.37321487538810366,0.017431166077464318,0.5575169431190554,0.016715665389079995,0.09802907179436303,0.05477813368270319,1.1065972095066219,0.044341516052800886,3.2492279277840126,0.03835556511825905,0.014815177874015418,0.023272820006986376
random,190,0.40218208022482277,0.02386477672366931,0.5600169333417306,0.012851372327499529,0.09022649867131603,0.04193351785908242,1.1535404328301795,0.038557583988526226,3.182989628271935,0.051823506021641326,0.054466453292913344,0.030487901679170714
uncertainty,190,0.4120436948308551,0.034666325285383985,0.5814025567783967,0.04931893406411764,0.013533063349110797,0.18100545272269494,1.2065902342741373,0.14460631818802688,3.248039184764574,0.13246638422290288,0.01418583920504517,0.08300867799922405
geographic,200,0.37168938066111046,0.015435816819174285,0.5486142061090648,0.014802172519211362,0.12673968887491513,0.04703020140840335,1.0957342948465443,0.03542047519797985,3.219260275618379,0.0682113618215257,0.03263466370938952,0.04082209328139652
hybrid,200,0.37188012674284143,0.01393540840918922,0.5536436240365534,0.013872642640470785,0.11073516553714406,0.045094826361090974,1.0987770745248935,0.028017449893884824,3.244713097385435,0.04139614843704825,0.01753041535706453,0.02510042032148982
random,200,0.4032939883455316,0.024441618248212442,0.5602046710780819,0.015096311887392898,0.08945298191565482,0.04917621709337138,1.1564578075823575,0.04035979393263485,3.178924808898828,0.0519385635621081,0.056878309909446687,0.030584643525401977
uncertainty,200,0.4109029717402722,0.02911113546498993,0.5802570381355285,0.04640782830892334,0.018118662883599923,0.1690351701437775,1.2045235041232751,0.13110184750370105,3.248693575208609,0.14285664014932165,0.013548941414260296,0.09014555406803298
