Strategy,Random State,Samples Used,Uncertainty Weight,Geographic Weight,Log MAE,Log RMSE,Log R2,Original MAE,Original RMSE,Original R2
hybrid,3,80,0.3,0.7,0.373014394994093,0.5610954722688293,0.08715150232568458,1.095527980105988,3.2920013467629796,-0.01116703715980627
hybrid,3,90,0.3,0.7,0.3745569998019903,0.5578931909630694,0.09754137782275407,1.0968951552478867,3.288145698810571,-0.008799832173135291
hybrid,3,100,0.3,0.7,0.37242828048233995,0.5570981495409097,0.10011169327717107,1.0930020518587105,3.287945910372378,-0.008677246108907077
hybrid,3,110,0.3,0.7,0.36876539625082094,0.5583031958894686,0.0962144268898385,1.0856800352796008,3.2921615627343908,-0.011265463031672862
hybrid,3,120,0.3,0.7,0.36840066648142544,0.558880801094419,0.09434339589931262,1.0856017249487968,3.294205044240929,-0.012521260223307129
hybrid,3,130,0.3,0.7,0.3673673709102999,0.559032896547012,0.09385039276104701,1.088070522805936,3.291095567436199,-0.010610677608494212
hybrid,3,140,0.3,0.7,0.3673344249290149,0.5574547143273226,0.09895939662571762,1.0884297549726614,3.2871977348671018,-0.008218247228670705
hybrid,3,150,0.3,0.7,0.36272061485272444,0.5557383787475754,0.10449924509033526,1.0812708862891578,3.28798279665969,-0.008699878213218826
hybrid,3,160,0.3,0.7,0.3688364484646241,0.5598895581336896,0.0910710989558039,1.0907544844364039,3.2898245877851435,-0.009830258105111955
hybrid,3,170,0.3,0.7,0.3724449007666957,0.5609370359195067,0.08766695101941979,1.098087909368763,3.284129052404517,-0.00633673124738765
hybrid,3,180,0.3,0.7,0.3757392959634127,0.5619735390018127,0.08429220614460364,1.103467577443619,3.283748892196456,-0.006103764130360512
hybrid,3,190,0.3,0.7,0.36880120724593995,0.5569615642436423,0.1005528954053938,1.089349713783179,3.2799543663803075,-0.003779907420253581
hybrid,3,200,0.3,0.7,0.3711897286395334,0.560338280117148,0.08961359787877199,1.0924986036769924,3.2860489158226045,-0.007513660513295273
random,4,30,,,0.38202728886284787,0.5759655835584224,0.038125872594552246,1.1033970705763778,3.307616438614063,-0.020782412077701817
random,4,40,,,0.3663589446001125,0.56498539866386,0.07445055422161395,1.0791423346504845,3.301176107412398,-0.016811107314968377
random,4,50,,,0.3833344551205146,0.5743964980685979,0.043359542661415396,1.1047100474391842,3.3011742742193255,-0.01680997801407713
random,4,60,,,0.3867882906197185,0.5611002255136786,0.08713603611355925,1.116440761903911,3.2482302547175324,0.01554354815929393
random,4,70,,,0.3871407461267456,0.5579937637206073,0.09721597168883034,1.122717663488248,3.2216966324949317,0.031561198529915346
random,4,80,,,0.4078707516373386,0.5702576818061383,0.05709602784744927,1.1668543571307577,3.2073177222564953,0.04018647974083689
random,4,90,,,0.4118420221506974,0.5738179458486327,0.045285695508045065,1.1789115107376396,3.19966345040498,0.04476220800893571
