Unique ID,Sample Date,Latitude (degree),Longitude (degree),Subregion,Water Sample Depth (m),Sampling Method,Mesh Size (mm),Microplastics Measurement,Unit,Concentration Class,Short Reference,DOI,Organization,ObjectId,x,y
0314556-0000004,7/1/2013 5:00:00 AM,39.9884,8.2881,Western Basin,0.5,Manta net,0.5,0.19,pieces/m3,Medium,de Lucia et al. 2014,https://doi.org/10.1016/j.marenvres.2014.03.017,"National Research Council, Italy",23132,922627.071643731,4864256.7422725
0276422-0000980,5/6/2023 5:00:00 AM,42.013,3.829333,Western Basin,0,Manta net,0.33,0.827371,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22133,426279.399637879,5162926.97996269
0260245-0000085,12/7/2014 6:00:00 AM,32.059167,34.748333,Eastern Basin,0.1,Manta net,0.333,1.294657,pieces/m3,High,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",11622,3868166.7354751,3771079.72357538
0276422-0000992,6/25/2023 5:00:00 AM,41.056835,12.189834,Tyrrhenian Sea,0,Manta net,0.33,0.529101,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22259,1356966.11373453,5020728.43120574
0260245-0000100,5/17/2015 5:00:00 AM,32.903333,35.071,Eastern Basin,0.1,Manta net,0.333,0.585366,pieces/m3,Medium,Hal et al. 2017,https://doi.org/10.1016/j.marpolbul.2016.12.052,"University of Haifa, Israel",11728,3904085.8616109,3882480.05385032
0289355-0000003,10/9/2018 5:00:00 AM,41.106389,1.261944,Balearic Sea,0,Neuston net,0.08,0.4,pieces/m3,Medium,Expósito et al. 2021,https://doi.org/10.1016/j.scitotenv.2021.147453,"Universitat Rovira i Virgili, Spain",21749,140478.963489627,5028046.70445027
0270530-0000013,6/9/2014 5:00:00 AM,43.505,7.3053,Western Basin,0.16,Manta net,0.333,4.082247,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11430,813222.276092101,5389156.62899413
0276422-0001107,7/6/2023 5:00:00 AM,36.965332,15.39,Ionian Sea,0,Manta net,0.33,2.470805,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22645,1713206.96330848,4434275.61614989
0253450-0000054,6/13/2013 5:00:00 AM,37.978,4.647,Western Basin,0,Neuston net,0.2,5.992509,pieces/m3,High,Suaria et al. 2016,https://doi.org/10.1038/srep37551,"Institute of Marine Sciences – National Research Council, Italy",10623,517301.673716342,4576318.41671446
0270530-0000086,9/16/2014 5:00:00 AM,40.46,5.2377,Western Basin,0.16,Manta net,0.333,1.642842,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11009,583058.096927929,4933015.12780005
0276422-0000044,8/18/2013 5:00:00 AM,39.391833,2.520833,Balearic Sea,0,Manta net,0.33,2.721657,pieces/m3,High,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",21772,280617.84593488,4777954.71744064
0314180-0000036,5/30/2013 5:00:00 AM,40.0695,5.9459,Western Basin,0.25,Neuston net,0.2,0.263,pieces/m3,Medium,Cózar et al. 2015,https://doi.org/10.1371/journal.pone.0121762,"Universidad de Cádiz, Spain",23581,661894.560307725,4876046.975885
0259524-0000065,3/19/2019 5:00:00 AM,36.12,25.227,Aegean Sea,0,Manta net,0.333,2.5,pieces/m3,High,Adamopoulou et al. 2021,https://doi.org/10.3389/fmars.2021.699000,"Hellenic Centre for Marine Research, Greece",10136,2808256.79424191,4317145.77458136
0275968-0000396,7/21/2010 5:00:00 AM,42.6043,8.7248,Western Basin,0,Neuston net,0.33,3.802136,pieces/m3,High,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,11367,971240.293273153,5251934.91366211
0276422-0000576,7/22/2019 5:00:00 AM,42.726433,6.32375,Western Basin,0,Manta net,0.33,0.047767,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22004,703956.629903964,5270424.42734443
0270528-0000024,4/2/2019 5:00:00 AM,44.310153,9.150061,Ligurian Sea,0,Manta net,0.1,0.52381,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",11072,1018580.13124739,5513565.20010126
0276422-0000830,4/9/2022 5:00:00 AM,38.469166,-0.153333,Western Basin,0,Manta net,0.33,0,pieces/m3,Very Low,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22196,-17068.951481805,4645916.89534892
0270530-0000019,6/30/2014 5:00:00 AM,42.608,9.7748,Tyrrhenian Sea,0.16,Manta net,0.333,1.763656,pieces/m3,High,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,11490,1088125.75860609,5252494.51752872
0276422-0000452,5/7/2018 5:00:00 AM,41.5305,5.151183,Western Basin,0,Manta net,0.33,0.174134,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22980,573427.068542967,5090908.02201679
0270528-0000016,9/10/2018 5:00:00 AM,44.411064,8.751844,Ligurian Sea,0,Manta net,0.1,0.43004,pieces/m3,Medium,Tsiaras et al. 2022,https://doi.org/10.3389/fmars.2022.784937,"Hellenic Centre for Marine Research, Greece",11064,974250.817582167,5529277.22162314
0275968-0000403,7/30/2010 5:00:00 AM,43.063,5.8787,Western Basin,0,Neuston net,0.33,0,pieces/m3,Very Low,Eriksen et al. 2014,https://doi.org/10.1371/journal.pone.0111913,5 Gyres Institute,11447,654413.890526417,5321566.01082004
0276422-0000990,6/24/2023 5:00:00 AM,41.535,9.726334,Tyrrhenian Sea,0,Manta net,0.33,0.210622,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22256,1082730.5481653,5091577.208768
0270530-0000078,9/7/2014 5:00:00 AM,37.354,7.0942,Western Basin,0.16,Manta net,0.333,0.235958,pieces/m3,Medium,Pedrotti et al. 2022,https://doi.org/10.1016/j.scitotenv.2022.155958,Sorbonne Universités,12000,789722.731585641,4488565.36141245
0276422-0000005,9/6/2011 5:00:00 AM,38.87,4.353333,Western Basin,0,Manta net,0.33,0.542422,pieces/m3,Medium,Faure et al. 2015,https://doi.org/10.1007/s11356-015-4453-3,"Oceaneye Association,  Switzerland",21575,484610.812813554,4703067.25808287
0314559-0000012,9/20/2011 5:00:00 AM,42.5855,8.7295,Western Basin,0.2,Plankton net,0.2,0.34,pieces/m3,Medium,Collignon et al. 2014,https://doi.org/10.1016/j.marpolbul.2013.11.023,"University of Liège, Belgium",23830,971763.494879882,5249092.0343548
0276422-0000979,5/5/2023 5:00:00 AM,40.2575,3.7475,Balearic Sea,0,Manta net,0.33,0.610243,pieces/m3,Medium,Unpublished,https://doi.org/10.25921/d1bs-3m40,"Oceaneye Association,  Switzerland",22130,417169.791747793,4903432.33797567
